cbsa_code,cbsa_name,returns,exempt
12100,"Atlantic City-Hammonton, NJ",155,202
12580,"Baltimore-Columbia-Towson, MD",77,93
10420,"Akron, OH",44,67
10740,"Albuquerque, NM",49,67
45220,"Tallahassee, FL",52,65
39340,"Provo-Orem, UT",37,63
27060,"Ithaca, NY",62,59
12940,"Baton Rouge, LA",41,58
41180,"St. Louis, MO-IL",85,58
32820,"Memphis, TN-MS-AR",47,55
17200,"Claremont-Lebanon, NH-VT",36,42
23540,"Gainesville, FL",33,36
31540,"Madison, WI",37,34
24340,"Grand Rapids-Wyoming, MI",22,30
30460,"Lexington-Fayette, KY",20,28
11460,"Ann Arbor, MI",39,24
36140,"Ocean City, NJ",26,24
41620,"Salt Lake City, UT",21,24
21660,"Eugene, OR",21,22
41500,"Salinas, CA",20,21
28140,"Kansas City, MO-KS",32,19
36540,"Omaha-Council Bluffs, NE-IA",24,18
17140,"Cincinnati, OH-KY-IN",44,14
40900,"Sacramento--Roseville--Arden-Arcade, CA",17,10
37100,"Oxnard-Thousand Oaks-Ventura, CA",15,7
48060,"Watertown-Fort Drum, NY",1,4
13820,"Birmingham-Hoover, AL",5,3
15540,"Burlington-South Burlington, VT",3,3
44300,"State College, PA",2,0
42220,"Santa Rosa, CA",-3,-5
36420,"Oklahoma City, OK",4,-6
16820,"Charlottesville, VA",2,-7
46140,"Tulsa, OK",-1,-9
42140,"Santa Fe, NM",-7,-13
40140,"Riverside-San Bernardino-Ontario, CA",36,-17
23420,"Fresno, CA",-2,-23
38340,"Pittsfield, MA",0,-23
17980,"Columbus, GA-AL",-21,-26
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",70,-30
42100,"Santa Cruz-Watsonville, CA",-25,-30
17900,"Columbia, SC",-3,-31
31700,"Manchester-Nashua, NH",1,-31
11700,"Asheville, NC",-6,-32
36700,"Orangeburg, SC",-21,-32
42200,"Santa Maria-Santa Barbara, CA",-6,-35
29180,"Lafayette, LA",-20,-37
26140,"Homosassa Springs, FL",-25,-39
33340,"Milwaukee-Waukesha-West Allis, WI",-10,-39
21340,"El Paso, TX",-24,-40
36580,"Oneonta, NY",-20,-41
49180,"Winston-Salem, NC",-15,-46
38300,"Pittsburgh, PA",24,-50
30140,"Lebanon, PA",-20,-55
31140,"Louisville/Jefferson County, KY-IN",-19,-61
12700,"Barnstable Town, MA",-21,-68
46060,"Tucson, AZ",-38,-69
45060,"Syracuse, NY",20,-76
42340,"Savannah, GA",-44,-84
48900,"Wilmington, NC",-53,-86
28580,"Key West, FL",-53,-87
46520,"Urban Honolulu, HI",-59,-92
35980,"Norwich-New London, CT",-28,-93
49620,"York-Hanover, PA",-38,-101
22180,"Fayetteville, NC",-61,-104
24860,"Greenville-Anderson-Mauldin, SC",-46,-110
45860,"Torrington, CT",-25,-112
39460,"Punta Gorda, FL",-63,-115
40380,"Rochester, NY",-11,-117
44140,"Springfield, MA",-19,-126
25940,"Hilton Head Island-Bluffton-Beaufort, SC",-67,-127
13780,"Binghamton, NY",-53,-136
19820,"Detroit-Warren-Dearborn, MI",77,-136
17460,"Cleveland-Elyria, OH",-19,-137
41540,"Salisbury, MD-DE",-70,-140
38860,"Portland-South Portland, ME",-80,-153
45540,"The Villages, FL",-94,-154
26900,"Indianapolis-Carmel-Anderson, IN",-64,-158
17820,"Colorado Springs, CO",-91,-160
35380,"New Orleans-Metairie, LA",-83,-161
46540,"Utica-Rome, NY",-59,-162
29540,"Lancaster, PA",-67,-164
14500,"Boulder, CO",-102,-165
28660,"Killeen-Temple, TX",-93,-169
41700,"San Antonio-New Braunfels, TX",-69,-178
27340,"Jacksonville, NC",-95,-182
42680,"Sebastian-Vero Beach, FL",-104,-182
20100,"Dover, DE",-89,-187
25420,"Harrisburg-Carlisle, PA",-82,-215
40060,"Richmond, VA",-53,-225
16700,"Charleston-North Charleston, SC",-127,-252
26460,"Hudson, NY",-163,-260
38900,"Portland-Vancouver-Hillsboro, OR-WA",-176,-269
24660,"Greensboro-High Point, NC",-140,-278
49340,"Worcester, MA-CT",-115,-297
20500,"Durham-Chapel Hill, NC",-116,-298
15380,"Buffalo-Cheektowaga-Niagara Falls, NY",-27,-324
47260,"Virginia Beach-Norfolk-Newport News, VA-NC",-160,-329
39300,"Providence-Warwick, RI-MA",-72,-331
25540,"Hartford-West Hartford-East Hartford, CT",-58,-337
41940,"San Jose-Sunnyvale-Santa Clara, CA",-258,-339
36100,"Ocala, FL",-216,-377
18140,"Columbus, OH",-138,-392
39740,"Reading, PA",-172,-413
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",-252,-415
16980,"Chicago-Naperville-Elgin, IL-IN-WI",-67,-478
19740,"Denver-Aurora-Lakewood, CO",-404,-622
29460,"Lakeland-Winter Haven, FL",-308,-681
42660,"Seattle-Tacoma-Bellevue, WA",-394,-718
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",-154,-731
27260,"Jacksonville, FL",-381,-732
28740,"Kingston, NY",-378,-738
19660,"Deltona-Daytona Beach-Ormond Beach, FL",-433,-764
41740,"San Diego-Carlsbad, CA",-512,-800
35300,"New Haven-Milford, CT",-257,-833
37340,"Palm Bay-Melbourne-Titusville, FL",-440,-834
45940,"Trenton, NJ",-289,-843
38940,"Port St. Lucie, FL",-526,-923
42540,"Scranton--Wilkes-Barre--Hazleton, PA",-412,-971
34820,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",-542,-981
34940,"Naples-Immokalee-Marco Island, FL",-518,-986
12420,"Austin-Round Rock, TX",-681,-1014
10580,"Albany-Schenectady-Troy, NY",-498,-1083
29820,"Las Vegas-Henderson-Paradise, NV",-652,-1123
35840,"North Port-Sarasota-Bradenton, FL",-626,-1125
38060,"Phoenix-Mesa-Scottsdale, AZ",-541,-1129
20700,"East Stroudsburg, PA",-469,-1130
14460,"Boston-Cambridge-Newton, MA-NH",-327,-1137
15980,"Cape Coral-Fort Myers, FL",-805,-1471
39580,"Raleigh, NC",-664,-1500
41860,"San Francisco-Oakland-Hayward, CA",-1362,-2013
16740,"Charlotte-Concord-Gastonia, NC-SC",-984,-2102
19100,"Dallas-Fort Worth-Arlington, TX",-900,-2131
10900,"Allentown-Bethlehem-Easton, PA-NJ",-1307,-2781
26420,"Houston-The Woodlands-Sugar Land, TX",-1305,-2807
31080,"Los Angeles-Long Beach-Anaheim, CA",-2246,-3430
45300,"Tampa-St. Petersburg-Clearwater, FL",-1968,-3691
14860,"Bridgeport-Stamford-Norwalk, CT",-1406,-3782
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",-1500,-3967
12060,"Atlanta-Sandy Springs-Roswell, GA",-1845,-4013
36740,"Orlando-Kissimmee-Sanford, FL",-1965,-4256
33100,"Miami-Fort Lauderdale-West Palm Beach, FL",-4676,-8839
